URL,Art,Absatz,,,,,,,,,,,,,,,,,,,,,
https://www.brandt-pb.de/Unternehmen/Wir-ueber-uns/,Gründung,Das Unternehmen Brandt GmbH wurde von Eduard Brandt am 01.06.1952 als Einzelfirma in Paderborn gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.brandt-pb.de/Unternehmen/Wir-ueber-uns/,Mitarbeiter,Durch einen konjukturellen Aufschwung wuchs der Betrieb in den folgenden Jahren auf 7 Mitarbeiter an.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-ohz.de/unternehmen/shk/team,Gründung,GRÜNDUNG 2007,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-ohz.de/unternehmen/shk/team,Mitarbeiter,MITARBEITER 21 + 3 Auszubildende,,,,,,,,,,,,,,,,,,,,,
https://www.sundh.de,Gründung,Unsere S+H – Sanitär- und Heizungstechnik Vechta wurde 1966 gegründet ist seit über 50 Jahren DER zuverlässige Handwerksbetrieb an der Seite unserer Kunden.,,,,,,,,,,,,,,,,,,,,,
https://www.sundh.de,Mitarbeiter,"Rund 90 Mitarbeiter im Firmenverbund, Spezialisten, wie Meister der Gewerke, Versorgungstechniker, Diplom-Ingenieure und natürlich gut geschulte Monteure unterstützen unsere Kunden mit Kompetenz und Leistungsfähigkeit. Nach der Fertigstellung einer Baumaßnahme steht unser hochqualifiziertes Serviceteam für Wartungen und Instandhaltungen bereit.",,,,,,,,,,,,,,,,,,,,,
https://www.j-runge.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.j-runge.de/unternehmen/shk/ueber_uns,Mitarbeiter,"Heute besteht unser Team aus ca. 20 Mitar­beitern (Meister, Gesellen, Kunden­dienst­mon­teure, Aus­zu­bil­dende, Büro­kräfte sowie die Geschäfts­leitung).",,,,,,,,,,,,,,,,,,,,,
https://www.lohr-lueneburg.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.sonderfeld.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dietmar-mueller-hls.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-team.de/,Gründung,"Die Dachdecker-Team GmbH aus dem Havelland, bietet seit 2003 mit seinen hochmotivierten und qualifizierten Mitarbeitern, qualitativ hochwertige Arbeiten bei allen anfallenden Dachdeckerarbeiten sowie diversen Nebenarbeiten an.",,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-industriellehallen.de/unternehmen/,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.zep-team.de/,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-owl.de/ueber-uns.html,Gründung,Die Firma JAKOB PETKER Dachdeckermeister GmbH blickt auf eine 20jährige Firmengeschichte zurück.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-owl.de/ueber-uns.html,Mitarbeiter,Seit der Gründung sind wir schnell gewachsen und beschäftigen seitdem regelmäßig 15-20 Mitarbeiter.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-blomberg.com/ueber-uns/,Gründung,Am 11.03.2004 schließlich die Gründung des heutigen Dachdeckerunternehmens durch Daniel Blomberg seinerzeit am Standort Verl.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-blomberg.com/ueber-uns/,Mitarbeiter,"Zur Zeit beschäftigt die Dachdeckerei Daniel Blomberg 19 Dachdeckergesellen, Zimmerer, Dachdecker Helfer sowie zwei Mitarbeiterinnen im kaufmännischen Büro und drei Auszubildende.",,,,,,,,,,,,,,,,,,,,,
https://palsbroeker.de/ueber-uns,Gründung,Seit nun fast 120 Jahren wird der Handwerksbetrieb in vierter Generation am Strotweg 18 in Bünde geführt. Der Firmengründer Heinrich übergab seinem Sohn Werner den väterlichen Betrieb 1926.,,,,,,,,,,,,,,,,,,,,,
https://palsbroeker.de/ueber-uns,Mitarbeiter,FOTOS (MIT HUND),,,,,,,,,,,,,,,,,,,,,
https://dachdecker-pro.de/uber-uns/,Gründung,Seit über 10 Jahren bieten wir hochwertige Dachdeckerarbeiten in Hagen und Umgebung an.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-grueter.de/ueber-uns.html,Gründung,Unser Dachdeckerbetrieb wurde 1988 nach bestandener Meisterprüfung von Detlef Grüter gegründet,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-grueter.de/ueber-uns.html,Mitarbeiter,Heute besteht unser Team aus 12 Mitarbeitern,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-elsbecker.de/ueber-uns/index.html,Gründung,Am 1. Juli 2021 beging Andreas Elsbecker sein 30-jähriges Firmenbestehen.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-elsbecker.de/ueber-uns/index.html,Mitarbeiter,FOTO,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-loewen.de/%C3%BCber-uns,Mitarbeiter,Heute besteht unser Team aus drei engagierten Mitarbeitern.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-loewen.de/%C3%BCber-uns,Gründung,Als Inhaber eines jungen Dachdeckerunternehmen besitze ich bereits über 15 Jahren Berufserfahrung in der Branche.,,,,,,,,,,,,,,,,,,,,,
https://otten-grein.de/wir-ueber-uns/,Gründung,Ein Familienbetrieb seit 1938,,,,,,,,,,,,,,,,,,,,,
https://www.becker-dachdecker-stommeln.de/%C3%BCber-uns/,Gründung,Der Dachdeckerbetrieb Becker wurde 1879 von Heinrich Becker in Stommeln gegründet und seither in Familienhand weitergeführt – mittlerweile in der fünften Generation.,,,,,,,,,,,,,,,,,,,,,
https://www.becker-dachdecker-stommeln.de/%C3%BCber-uns/,Mitarbeiter,Der Meisterbetrieb beschäftigt derzeit dreizehn Angestellte hiervon sind drei Auszubildende.,,,,,,,,,,,,,,,,,,,,,
https://www.menke-haustechnik.de/unternehmen/shk/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns/team,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns,Mitarbeiter,Als Dienstleistung­sunter­nehmen für Haus­technik in Hamburg verfügt Marquardt & Streck über 25 qualifizierte Mitarbeiter.,,,,,,,,,,,,,,,,,,,,,
https://www.marquardt-streck.de/ueber-uns,Gründung,Genau das machen wir bei Marquardt & Streck seit mehr als 30 Jahren. Wir sind Ihre Profis für Haus­technik.,,,,,,,,,,,,,,,,,,,,,
https://www.heitmann-haustechnik.de/loesungen/sanitaer/,Mitarbeiter,"Mit seinen 65 Mitarbeitenden ist das auf die Technische Gebäudeausrüstung (TGA) spezialisierte Unternehmen ein Komplettanbieter für die Bereiche Heizung, Klima, Lüftung, Sanitär, Gebäude- und Elektrotec",,,,,,,,,,,,,,,,,,,,,
https://www.heitmann-haustechnik.de/ueber-uns-2/,Gründung,Am 1. Juli 1984 gründete Günter Heitmann die Heitmann Haustechnik GmbH. Heute ist das Unternehmen auf die ganzheitliche Umsetzung und Planung im Bereich der technischen Gebäudeausrüstung (TGA) spezialisiert. Volker Heitmann hat 2006 die kaufmännische Leitung des Unternehmens übernommen.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-sommer.de/,Gründung,Über 30 Jahre zufriedene Kunden in Lemgo und Umgebung.,,,,,,,,,,,,,,,,,,,,,
https://www.wiesner-dachdecker.de/%C3%BCber-uns/,Gründung,"Der Name Wiesner ist bereits seit über 40 Jahren ein Begriff, wenn es um Dächer und Fassaden geht. In Mülheim an der Ruhr ansässig, begann der Vater, Wilhelm Wiesner, in den 1970 er Jahren mit einem kleinen LKW und viel Spaß an seinem Beruf.",,,,,,,,,,,,,,,,,,,,,
https://www.wiesner-dachdecker.de/%C3%BCber-uns/,Mitarbeiter,"Seit 2003 leitet Andreas Wiesner, Dachklempnergeselle und Dachdeckermeister den Familienbetrieb und beschäftig 4 Dachdeckergesellen und einen Lehrling.",,,,,,,,,,,,,,,,,,,,,
https://dachdecker-kayser.de/jobs.html,Gründung,Wir sind seit 2014 ein eingetragener Handwerksbetrieb mit mehr als 35 Jahren Berufserfahrung.,,,,,,,,,,,,,,,,,,,,,
https://presuhn.de/ueber-uns,Gründung,Seit 1872 sind wir als Dachdeckermeister aktiv und haben in dieser Zeit fünf Generationen erfahrener Experten hervorgebracht.,,,,,,,,,,,,,,,,,,,,,
https://presuhn.de/ueber-uns,Mitarbeiter,FOTOS,,,,,,,,,,,,,,,,,,,,,
https://www.raabe-bedachungen.de/,Gründung,Seit über 155 Jahren verknüpfen wir traditionelles Handwerk mit modernster Technik. Am 18. April 1865 gründete der Ur-Ur-Großvater August Raabe in Lemgo das wohl älteste Bedachungsgeschäft in Lippe.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-henschel.de/wir-ueber-uns/,Gründung,Seinen mittlerweile renommierten Meisterbetrieb führt Andreas Henschel seit 2011.,,,,,,,,,,,,,,,,,,,,,
https://www.dachdecker-henschel.de/wir-ueber-uns/,Mitarbeiter,FOTOS (MIT HUND),,,,,,,,,,,,,,,,,,,,,
https://www.dach-lang.de/ueberuns/,Gründung,1953 gegründet,,,,,,,,,,,,,,,,,,,,,
https://www.dach-lang.de/ueberuns/,Mitarbeiter,40 Mitarbeiter,,,,,,,,,,,,,,,,,,,,,
https://www.finke-bedachungen.de/wir-%C3%BCber-uns/,Gründung,Finke Bedachungen wurde 1946 in Weyhe-Melchiorshausen von Johann Finke gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.finke-bedachungen.de/wir-%C3%BCber-uns/,Mitarbeiter,Kontinuierlich beschäftigt der Betrieb 15 Mitarbeiter darunter 2 Auszubildende.,,,,,,,,,,,,,,,,,,,,,
https://polten-iserlohn.de,Gründung,"Seit mehr als 30 Jahren sind wir Ihr kompetenter Partner, wenn es um Heizung und Sanitär, sowie damit verbundene Planung, Installation, Wartung und Reparaturen geht.",,,,,,,,,,,,,,,,,,,,,
https://www.luehrs-kleinbad.de/unternehmen/shk/ueber_uns,Mitarbeiter,Rund 20 Mit­ar­bei­ter sor­gen stän­dig für die Zu­frie­den­heit der Kunden.,,,,,,,,,,,,,,,,,,,,,
https://www.luehrs-kleinbad.de/unternehmen/shk/ueber_uns,Gründung,Bereits 1881 wurde die Firma Lührs & Co. in Ham­burg ge­grün­det.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-besa.de/ueber-uns/ueber-sanitaer-besa/,Gründung,Die Firma Besa Sanitärtechnik GmbH wurde im Dezember 2004 in Leutenbach gegründet.,,,,,,,,,,,,,,,,,,,,,
https://www.sanitaer-besa.de/ueber-uns/ueber-sanitaer-besa/,Mitarbeiter,Wir beschäftigen zur Zeit 20 Mitarbeiter in verschiedenen Bereichen und wachsen immer weiter.,,,,,,,,,,,,,,,,,,,,,
